"","Person","Age","Gender","Group","Questions","Percentage"
"251",56,18,"female","2","Question_4",0.834
"252",57,18,"female","1","Question_4",0.679
"253",58,18,"female","2","Question_4",0.624
"254",59,18,"female","1","Question_4",0.921
"255",60,18,"female","2","Question_4",0.892
"256",61,21,"male","1","Question_4",0.914
"257",62,19,"male","2","Question_4",0.906
"258",63,18,"female","1","Question_4",0.982
"259",64,18,"female","2","Question_4",0.829
"260",65,18,"female","1","Question_4",0.771
"261",1,24,"female","1","Question_5",0.982
"262",2,23,"male","2","Question_5",0.904
"263",3,19,"female","1","Question_5",0.654
"264",4,22,"male","2","Question_5",0.871
"265",5,39,"female","1","Question_5",0.868
"266",6,22,"female","2","Question_5",1
"267",7,22,"male","1","Question_5",0.729
"268",8,36,"female","2","Question_5",0.732
"269",9,29,"male","1","Question_5",0.921
"270",10,22,"female","2","Question_5",0.764
"271",11,18,"female","1","Question_5",0.911
"272",12,22,"female","2","Question_5",0.804
"273",13,23,"male","1","Question_5",0.914
"274",14,32,"female","2","Question_5",0.871
"275",15,22,"female","1","Question_5",0.932
"276",16,38,"female","2","Question_5",0.939
"277",17,25,"female","1","Question_5",0.896
"278",18,33,"female","2","Question_5",0.8
"279",19,22,"female","1","Question_5",0.886
"280",20,23,"male","2","Question_5",0.964
"281",21,32,"female","1","Question_5",0.879
"282",22,33,"female","2","Question_5",0.861
"283",23,31,"male","1","Question_5",0.939
"284",24,23,"female","2","Question_5",0.832
"285",25,20,"male","1","Question_5",0.8
"286",26,25,"female","2","Question_5",0.964
"287",27,20,"male","1","Question_5",0.854
"288",28,26,"male","2","Question_5",0.843
"289",29,18,"female","1","Question_5",0.879
"290",30,19,"female","2","Question_5",0.693
"291",31,18,"female","1","Question_5",0.85
"292",32,22,"female","2","Question_5",0.929
"293",33,24,"female","1","Question_5",0.946
"294",34,22,"male","2","Question_5",0.886
"295",35,20,"female","1","Question_5",0.868
"296",36,18,"female","2","Question_5",0.718
"297",37,27,"female","1","Question_5",0.889
"298",38,19,"female","2","Question_5",0.846
"299",39,20,"female","1","Question_5",0.843
"300",40,19,"female","2","Question_5",0.739
"301",41,18,"female","1","Question_5",0.857
"302",42,19,"female","2","Question_5",0.957
"303",43,20,"female","1","Question_5",0.8
"304",44,18,"female","2","Question_5",0.896
"305",45,18,"male","1","Question_5",0.829
"306",46,24,"female","2","Question_5",0.682
"307",47,18,"female","1","Question_5",0.829
"308",48,18,"female","2","Question_5",0.889
"309",49,22,"female","1","Question_5",0.964
"310",50,22,"female","2","Question_5",0.871
"311",51,20,"female","1","Question_5",0.857
"312",52,22,"male","2","Question_5",0.879
"313",53,18,"female","1","Question_5",0.85
"314",54,18,"female","2","Question_5",0.914
"315",55,18,"female","1","Question_5",0.982
"316",56,18,"female","2","Question_5",0.921
"317",57,18,"female","1","Question_5",0.8
"318",58,18,"female","2","Question_5",0.882
"319",59,18,"female","1","Question_5",0.836
"320",60,18,"female","2","Question_5",0.939
"321",61,21,"male","1","Question_5",0.914
"322",62,19,"male","2","Question_5",0.879
"323",63,18,"female","1","Question_5",0.861
"324",64,18,"female","2","Question_5",0.829
"325",65,18,"female","1","Question_5",0.829
"326",1,24,"female","1","Question_6",0.83
"327",2,23,"male","2","Question_6",0.843
"328",3,19,"female","1","Question_6",0.806
"329",4,22,"male","2","Question_6",0.893
"330",5,39,"female","1","Question_6",0.848
"331",6,22,"female","2","Question_6",0.903
"332",7,22,"male","1","Question_6",0.76
"333",8,36,"female","2","Question_6",0.823
"334",9,29,"male","1","Question_6",0.814
"335",10,22,"female","2","Question_6",0.92
"336",11,18,"female","1","Question_6",0.894
"337",12,22,"female","2","Question_6",0.936
"338",13,23,"male","1","Question_6",0.909
"339",14,32,"female","2","Question_6",0.729
"340",15,22,"female","1","Question_6",0.825
"341",16,38,"female","2","Question_6",0.864
"342",17,25,"female","1","Question_6",0.701
"343",18,33,"female","2","Question_6",0.85
"344",19,22,"female","1","Question_6",0.701
"345",20,23,"male","2","Question_6",0.907
"346",21,32,"female","1","Question_6",0.829
"347",22,33,"female","2","Question_6",0.885
"348",23,31,"male","1","Question_6",0.87
"349",24,23,"female","2","Question_6",0.865
"350",25,20,"male","1","Question_6",0.746
"351",26,25,"female","2","Question_6",0.844
"352",27,20,"male","1","Question_6",0.833
"353",28,26,"male","2","Question_6",0.882
"354",29,18,"female","1","Question_6",0.79
"355",30,19,"female","2","Question_6",0.579
"356",31,18,"female","1","Question_6",0.853
"357",32,22,"female","2","Question_6",0.707
"358",33,24,"female","1","Question_6",0.747
"359",34,22,"male","2","Question_6",0.864
"360",35,20,"female","1","Question_6",0.748
"361",36,18,"female","2","Question_6",0.794
"362",37,27,"female","1","Question_6",0.785
"363",38,19,"female","2","Question_6",0.731
"364",39,20,"female","1","Question_6",0.772
"365",40,19,"female","2","Question_6",0.756
"366",41,18,"female","1","Question_6",0.637
"367",42,19,"female","2","Question_6",0.801
"368",43,20,"female","1","Question_6",0.889
"369",44,18,"female","2","Question_6",0.886
"370",45,18,"male","1","Question_6",0.821
"371",46,24,"female","2","Question_6",0.822
"372",47,18,"female","1","Question_6",0.728
"373",48,18,"female","2","Question_6",0.747
"374",49,22,"female","1","Question_6",0.863
"375",50,22,"female","2","Question_6",0.74
"376",51,20,"female","1","Question_6",0.924
"377",52,22,"male","2","Question_6",0.744
"378",53,18,"female","1","Question_6",0.781
"379",54,18,"female","2","Question_6",0.76
"380",55,18,"female","1","Question_6",0.99
"381",56,18,"female","2","Question_6",0.819
"382",57,18,"female","1","Question_6",0.746
"383",58,18,"female","2","Question_6",0.748
"384",59,18,"female","1","Question_6",0.931
"385",60,18,"female","2","Question_6",0.808
"386",61,21,"male","1","Question_6",0.754
"387",62,19,"male","2","Question_6",0.868
"388",63,18,"female","1","Question_6",0.891
"389",64,18,"female","2","Question_6",0.733
"390",65,18,"female","1","Question_6",0.82
"391",1,24,"female","1","Question_7",0.933
"392",2,23,"male","2","Question_7",0.967
"393",3,19,"female","1","Question_7",0.892
"394",4,22,"male","2","Question_7",0.867
"395",5,39,"female","1","Question_7",0.833
"396",6,22,"female","2","Question_7",0.849
"397",7,22,"male","1","Question_7",0.783
"398",8,36,"female","2","Question_7",0.797
"399",9,29,"male","1","Question_7",0.957
"400",10,22,"female","2","Question_7",0.889
"401",11,18,"female","1","Question_7",0.917
"402",12,22,"female","2","Question_7",0.9
"403",13,23,"male","1","Question_7",0.889
"404",14,32,"female","2","Question_7",0.757
"405",15,22,"female","1","Question_7",0.975
"406",16,38,"female","2","Question_7",0.771
"407",17,25,"female","1","Question_7",0.439
"408",18,33,"female","2","Question_7",0.915
"409",19,22,"female","1","Question_7",0.856
"410",20,23,"male","2","Question_7",0.854
"411",21,32,"female","1","Question_7",0.926
"412",22,33,"female","2","Question_7",0.792
"413",23,31,"male","1","Question_7",0.925
"414",24,23,"female","2","Question_7",0.879
"415",25,20,"male","1","Question_7",0.917
"416",26,25,"female","2","Question_7",0.975
"417",27,20,"male","1","Question_7",0.684
"418",28,26,"male","2","Question_7",0.783
"419",29,18,"female","1","Question_7",0.883
"420",30,19,"female","2","Question_7",0.69
"421",31,18,"female","1","Question_7",0.917
"422",32,22,"female","2","Question_7",0.907
"423",33,24,"female","1","Question_7",0.833
"424",34,22,"male","2","Question_7",0.801
"425",35,20,"female","1","Question_7",0.842
"426",36,18,"female","2","Question_7",0.79
"427",37,27,"female","1","Question_7",0.845
"428",38,19,"female","2","Question_7",0.821
"429",39,20,"female","1","Question_7",0.73
"430",40,19,"female","2","Question_7",0.621
"431",41,18,"female","1","Question_7",0.722
"432",42,19,"female","2","Question_7",0.889
"433",43,20,"female","1","Question_7",0.875
"434",44,18,"female","2","Question_7",0.861
"435",45,18,"male","1","Question_7",0.638
"436",46,24,"female","2","Question_7",0.724
"437",47,18,"female","1","Question_7",0.421
"438",48,18,"female","2","Question_7",0.797
"439",49,22,"female","1","Question_7",0.969
"440",50,22,"female","2","Question_7",0.865
"441",51,20,"female","1","Question_7",0.925
"442",52,22,"male","2","Question_7",0.857
"443",53,18,"female","1","Question_7",0.879
"444",54,18,"female","2","Question_7",0.731
"445",55,18,"female","1","Question_7",0.926
"446",56,18,"female","2","Question_7",0.863
"447",57,18,"female","1","Question_7",0.578
"448",58,18,"female","2","Question_7",0.62
"449",59,18,"female","1","Question_7",0.799
"450",60,18,"female","2","Question_7",0.967
"451",61,21,"male","1","Question_7",0.959
"452",62,19,"male","2","Question_7",0.824
"453",63,18,"female","1","Question_7",0.95
"454",64,18,"female","2","Question_7",0.876
"455",65,18,"female","1","Question_7",0.747
"456",1,24,"female","1","Question_8",0.889
"457",2,23,"male","2","Question_8",0.861
"458",3,19,"female","1","Question_8",0.7
"459",4,22,"male","2","Question_8",0.889
"460",5,39,"female","1","Question_8",0.811
"461",6,22,"female","2","Question_8",0.857
"462",7,22,"male","1","Question_8",0.707
"463",8,36,"female","2","Question_8",0.689
"464",9,29,"male","1","Question_8",0.864
"465",10,22,"female","2","Question_8",0.889
"466",11,18,"female","1","Question_8",0.668
"467",12,22,"female","2","Question_8",0.871
"468",13,23,"male","1","Question_8",0.686
"469",14,32,"female","2","Question_8",0.832
"470",15,22,"female","1","Question_8",0.857
"471",16,38,"female","2","Question_8",0.932
"472",17,25,"female","1","Question_8",0.693
"473",18,33,"female","2","Question_8",0.721
"474",19,22,"female","1","Question_8",0.743
"475",20,23,"male","2","Question_8",0.932
"476",21,32,"female","1","Question_8",0.789
"477",22,33,"female","2","Question_8",0.764
"478",23,31,"male","1","Question_8",0.864
"479",24,23,"female","2","Question_8",0.654
"480",25,20,"male","1","Question_8",0.854
"481",26,25,"female","2","Question_8",0.804
"482",27,20,"male","1","Question_8",0.821
"483",28,26,"male","2","Question_8",0.789
"484",29,18,"female","1","Question_8",0.771
"485",30,19,"female","2","Question_8",0.864
"486",31,18,"female","1","Question_8",0.829
"487",32,22,"female","2","Question_8",0.864
"488",33,24,"female","1","Question_8",0.804
"489",34,22,"male","2","Question_8",0.796
"490",35,20,"female","1","Question_8",0.764
"491",36,18,"female","2","Question_8",0.796
"492",37,27,"female","1","Question_8",0.721
"493",38,19,"female","2","Question_8",0.704
"494",39,20,"female","1","Question_8",0.839
"495",40,19,"female","2","Question_8",0.454
"496",41,18,"female","1","Question_8",0.754
"497",42,19,"female","2","Question_8",0.821
"498",43,20,"female","1","Question_8",0.914
"499",44,18,"female","2","Question_8",0.871
"500",45,18,"male","1","Question_8",0.864
"501",46,24,"female","2","Question_8",0.739
"502",47,18,"female","1","Question_8",0.886
"503",48,18,"female","2","Question_8",0.743
"504",49,22,"female","1","Question_8",0.854
"505",50,22,"female","2","Question_8",0.854
"506",51,20,"female","1","Question_8",0.736
"507",52,22,"male","2","Question_8",0.8
"508",53,18,"female","1","Question_8",0.854
"509",54,18,"female","2","Question_8",0.807
"510",55,18,"female","1","Question_8",0.932
"511",56,18,"female","2","Question_8",0.829
"512",57,18,"female","1","Question_8",0.643
"513",58,18,"female","2","Question_8",0.771
"514",59,18,"female","1","Question_8",0.882
"515",60,18,"female","2","Question_8",0.882
"516",61,21,"male","1","Question_8",0.864
"517",62,19,"male","2","Question_8",0.754
"518",63,18,"female","1","Question_8",0.939
"519",64,18,"female","2","Question_8",0.821
"520",65,18,"female","1","Question_8",0.811
"521",1,24,"female","1","Question_9",0.979
"522",2,23,"male","2","Question_9",0.94
"523",3,19,"female","1","Question_9",0.738
"524",4,22,"male","2","Question_9",0.762
"525",5,39,"female","1","Question_9",0.767
"526",6,22,"female","2","Question_9",0.848
"527",7,22,"male","1","Question_9",0.89
"528",8,36,"female","2","Question_9",0.701
"529",9,29,"male","1","Question_9",0.933
"530",10,22,"female","2","Question_9",0.915
"531",11,18,"female","1","Question_9",0.979
"532",12,22,"female","2","Question_9",0.804
"533",13,23,"male","1","Question_9",0.843
"534",14,32,"female","2","Question_9",0.92
"535",15,22,"female","1","Question_9",1
"536",16,38,"female","2","Question_9",0.961
"537",17,25,"female","1","Question_9",0.802
"538",18,33,"female","2","Question_9",0.912
"539",19,22,"female","1","Question_9",0.789
"540",20,23,"male","2","Question_9",0.975
"541",21,32,"female","1","Question_9",0.94
"542",22,33,"female","2","Question_9",0.773
"543",23,31,"male","1","Question_9",0.902
"544",24,23,"female","2","Question_9",0.933
"545",25,20,"male","1","Question_9",0.908
"546",26,25,"female","2","Question_9",0.932
"547",27,20,"male","1","Question_9",0.838
"548",28,26,"male","2","Question_9",0.837
"549",29,18,"female","1","Question_9",0.918
"550",30,19,"female","2","Question_9",0.674
"551",31,18,"female","1","Question_9",1
"552",32,22,"female","2","Question_9",0.865
"553",33,24,"female","1","Question_9",0.837
"554",34,22,"male","2","Question_9",0.881
"555",35,20,"female","1","Question_9",0.776
"556",36,18,"female","2","Question_9",0.911
"557",37,27,"female","1","Question_9",0.905
"558",38,19,"female","2","Question_9",0.89
"559",39,20,"female","1","Question_9",0.749
"560",40,19,"female","2","Question_9",0.834
"561",41,18,"female","1","Question_9",0.834
"562",42,19,"female","2","Question_9",0.92
"563",43,20,"female","1","Question_9",0.957
"564",44,18,"female","2","Question_9",0.933
"565",45,18,"male","1","Question_9",0.805
"566",46,24,"female","2","Question_9",0.88
"567",47,18,"female","1","Question_9",0.617
"568",48,18,"female","2","Question_9",0.755
"569",49,22,"female","1","Question_9",0.907
"570",50,22,"female","2","Question_9",0.812
"571",51,20,"female","1","Question_9",0.958
"572",52,22,"male","2","Question_9",0.741
"573",53,18,"female","1","Question_9",0.833
"574",54,18,"female","2","Question_9",0.813
"575",55,18,"female","1","Question_9",0.979
"576",56,18,"female","2","Question_9",0.979
"577",57,18,"female","1","Question_9",0.915
"578",58,18,"female","2","Question_9",0.79
"579",59,18,"female","1","Question_9",0.958
"580",60,18,"female","2","Question_9",0.911
"581",61,21,"male","1","Question_9",0.823
"582",62,19,"male","2","Question_9",0.954
"583",63,18,"female","1","Question_9",0.893
"584",64,18,"female","2","Question_9",0.713
"585",65,18,"female","1","Question_9",0.83
"586",1,24,"female","1","Question_10",0.979
"587",2,23,"male","2","Question_10",0.883
"588",3,19,"female","1","Question_10",0.921
"589",4,22,"male","2","Question_10",0.908
"590",5,39,"female","1","Question_10",0.829
"591",6,22,"female","2","Question_10",0.961
"592",7,22,"male","1","Question_10",0.873
"593",8,36,"female","2","Question_10",0.883
"594",9,29,"male","1","Question_10",0.943
"595",10,22,"female","2","Question_10",0.785
"596",11,18,"female","1","Question_10",0.883
"597",12,22,"female","2","Question_10",0.893
"598",13,23,"male","1","Question_10",0.982
"599",14,32,"female","2","Question_10",0.79
"600",15,22,"female","1","Question_10",0.901
"601",16,38,"female","2","Question_10",0.893
"602",17,25,"female","1","Question_10",0.738
"603",18,33,"female","2","Question_10",0.896
"604",19,22,"female","1","Question_10",0.964
"605",20,23,"male","2","Question_10",1
"606",21,32,"female","1","Question_10",0.918
"607",22,33,"female","2","Question_10",0.822
"608",23,31,"male","1","Question_10",0.918
"609",24,23,"female","2","Question_10",0.936
"610",25,20,"male","1","Question_10",0.918
"611",26,25,"female","2","Question_10",0.982
"612",27,20,"male","1","Question_10",0.654
"613",28,26,"male","2","Question_10",0.694
"614",29,18,"female","1","Question_10",0.964
"615",30,19,"female","2","Question_10",0.708
"616",31,18,"female","1","Question_10",0.961
"617",32,22,"female","2","Question_10",0.943
"618",33,24,"female","1","Question_10",0.979
"619",34,22,"male","2","Question_10",0.905
"620",35,20,"female","1","Question_10",0.869
"621",36,18,"female","2","Question_10",0.883
"622",37,27,"female","1","Question_10",0.926
"623",38,19,"female","2","Question_10",0.911
"624",39,20,"female","1","Question_10",0.8
"625",40,19,"female","2","Question_10",0.783
"626",41,18,"female","1","Question_10",0.889
"627",42,19,"female","2","Question_10",0.943
"628",43,20,"female","1","Question_10",0.957
"629",44,18,"female","2","Question_10",0.911
"630",45,18,"male","1","Question_10",0.768
"631",46,24,"female","2","Question_10",0.883
"632",47,18,"female","1","Question_10",0.707
"633",48,18,"female","2","Question_10",0.901
"634",49,22,"female","1","Question_10",0.982
"635",50,22,"female","2","Question_10",0.964
"636",51,20,"female","1","Question_10",0.858
"637",52,22,"male","2","Question_10",0.868
"638",53,18,"female","1","Question_10",0.921
"639",54,18,"female","2","Question_10",0.861
"640",55,18,"female","1","Question_10",0.975
"641",56,18,"female","2","Question_10",0.911
"642",57,18,"female","1","Question_10",0.861
"643",58,18,"female","2","Question_10",0.726
"644",59,18,"female","1","Question_10",0.94
"645",60,18,"female","2","Question_10",0.847
"646",61,21,"male","1","Question_10",0.954
"647",62,19,"male","2","Question_10",0.943
"648",63,18,"female","1","Question_10",0.943
"649",64,18,"female","2","Question_10",0.846
"650",65,18,"female","1","Question_10",0.908
"651",1,24,"female","1","Question_11",0.79
"652",2,23,"male","2","Question_11",0.744
"653",3,19,"female","1","Question_11",0.556
"654",4,22,"male","2","Question_11",0.655
"655",5,39,"female","1","Question_11",0.617
"656",6,22,"female","2","Question_11",0.75
"657",7,22,"male","1","Question_11",0.687
"658",8,36,"female","2","Question_11",0.565
"659",9,29,"male","1","Question_11",0.624
"660",10,22,"female","2","Question_11",0.742
"661",11,18,"female","1","Question_11",0.539
"662",12,22,"female","2","Question_11",0.739
"663",13,23,"male","1","Question_11",0.639
