"","Person","Age","Gender","Group","Container","Percentage"
"184",54,18,"female","2","Container_3",0.743
"185",55,18,"female","1","Container_3",0.912
"186",56,18,"female","2","Container_3",0.756
"187",57,18,"female","1","Container_3",0.714
"188",58,18,"female","2","Container_3",0.666
"189",59,18,"female","1","Container_3",0.778
"190",60,18,"female","2","Container_3",0.783
"191",61,21,"male","1","Container_3",0.841
"192",62,19,"male","2","Container_3",0.805
"193",63,18,"female","1","Container_3",0.723
"194",64,18,"female","2","Container_3",0.711
"195",65,18,"female","1","Container_3",0.78
"196",1,24,"female","1","Container_4",0.842
"197",2,23,"male","2","Container_4",0.912
"198",3,19,"female","1","Container_4",0.742
"199",4,22,"male","2","Container_4",0.845
"200",5,39,"female","1","Container_4",0.745
"201",6,22,"female","2","Container_4",0.881
"202",7,22,"male","1","Container_4",0.786
"203",8,36,"female","2","Container_4",0.665
"204",9,29,"male","1","Container_4",0.899
"205",10,22,"female","2","Container_4",0.77
"206",11,18,"female","1","Container_4",0.788
"207",12,22,"female","2","Container_4",0.828
"208",13,23,"male","1","Container_4",0.822
"209",14,32,"female","2","Container_4",0.846
"210",15,22,"female","1","Container_4",0.855
"211",16,38,"female","2","Container_4",0.73
"212",17,25,"female","1","Container_4",0.774
"213",18,33,"female","2","Container_4",0.741
"214",19,22,"female","1","Container_4",0.754
"215",20,23,"male","2","Container_4",0.727
"216",21,32,"female","1","Container_4",0.866
"217",22,33,"female","2","Container_4",0.741
"218",23,31,"male","1","Container_4",0.912
"219",24,23,"female","2","Container_4",0.833
"220",25,20,"male","1","Container_4",0.738
"221",26,25,"female","2","Container_4",0.879
"222",27,20,"male","1","Container_4",0.739
"223",28,26,"male","2","Container_4",0.734
"224",29,18,"female","1","Container_4",0.8
"225",30,19,"female","2","Container_4",0.696
"226",31,18,"female","1","Container_4",0.933
"227",32,22,"female","2","Container_4",0.856
"228",33,24,"female","1","Container_4",0.798
"229",34,22,"male","2","Container_4",0.791
"230",35,20,"female","1","Container_4",0.755
"231",36,18,"female","2","Container_4",0.723
"232",37,27,"female","1","Container_4",0.759
"233",38,19,"female","2","Container_4",0.751
"234",39,20,"female","1","Container_4",0.731
"235",40,19,"female","2","Container_4",0.59
"236",41,18,"female","1","Container_4",0.7
"237",42,19,"female","2","Container_4",0.761
"238",43,20,"female","1","Container_4",0.873
"239",44,18,"female","2","Container_4",0.854
"240",45,18,"male","1","Container_4",0.713
"241",46,24,"female","2","Container_4",0.748
"242",47,18,"female","1","Container_4",0.619
"243",48,18,"female","2","Container_4",0.83
"244",49,22,"female","1","Container_4",0.858
"245",50,22,"female","2","Container_4",0.754
"246",51,20,"female","1","Container_4",0.855
"247",52,22,"male","2","Container_4",0.783
"248",53,18,"female","1","Container_4",0.772
"249",54,18,"female","2","Container_4",0.663
"250",55,18,"female","1","Container_4",0.937
"251",56,18,"female","2","Container_4",0.826
"252",57,18,"female","1","Container_4",0.627
