"","Person","Age","Gender","Group","Questions","Percentage"
"352",27,20,"male","1","Question_7",0.684
"353",28,26,"male","2","Question_7",0.783
"354",29,18,"female","1","Question_7",0.883
"355",30,19,"female","2","Question_7",0.69
"356",31,18,"female","1","Question_7",0.917
"357",32,22,"female","2","Question_7",0.907
"358",33,24,"female","1","Question_7",0.833
"359",34,22,"male","2","Question_7",0.801
"360",35,20,"female","1","Question_7",0.842
"361",36,18,"female","2","Question_7",0.79
"362",37,27,"female","1","Question_7",0.845
"363",38,19,"female","2","Question_7",0.821
"364",39,20,"female","1","Question_7",0.73
"365",40,19,"female","2","Question_7",0.621
"366",41,18,"female","1","Question_7",0.722
"367",42,19,"female","2","Question_7",0.889
"368",43,20,"female","1","Question_7",0.875
"369",44,18,"female","2","Question_7",0.861
"370",45,18,"male","1","Question_7",0.638
"371",46,24,"female","2","Question_7",0.724
"372",47,18,"female","1","Question_7",0.421
"373",48,18,"female","2","Question_7",0.797
"374",49,22,"female","1","Question_7",0.969
"375",50,22,"female","2","Question_7",0.865
"376",51,20,"female","1","Question_7",0.925
"377",52,22,"male","2","Question_7",0.857
"378",53,18,"female","1","Question_7",0.879
"379",54,18,"female","2","Question_7",0.731
"380",55,18,"female","1","Question_7",0.926
"381",56,18,"female","2","Question_7",0.863
"382",57,18,"female","1","Question_7",0.578
"383",58,18,"female","2","Question_7",0.62
"384",59,18,"female","1","Question_7",0.799
"385",60,18,"female","2","Question_7",0.967
"386",61,21,"male","1","Question_7",0.959
"387",62,19,"male","2","Question_7",0.824
"388",63,18,"female","1","Question_7",0.95
"389",64,18,"female","2","Question_7",0.876
"390",65,18,"female","1","Question_7",0.747
"391",1,24,"female","1","Question_8",0.889
"392",2,23,"male","2","Question_8",0.861
"393",3,19,"female","1","Question_8",0.7
"394",4,22,"male","2","Question_8",0.889
"395",5,39,"female","1","Question_8",0.811
"396",6,22,"female","2","Question_8",0.857
"397",7,22,"male","1","Question_8",0.707
"398",8,36,"female","2","Question_8",0.689
"399",9,29,"male","1","Question_8",0.864
"400",10,22,"female","2","Question_8",0.889
"401",11,18,"female","1","Question_8",0.668
"402",12,22,"female","2","Question_8",0.871
"403",13,23,"male","1","Question_8",0.686
"404",14,32,"female","2","Question_8",0.832
"405",15,22,"female","1","Question_8",0.857
"406",16,38,"female","2","Question_8",0.932
"407",17,25,"female","1","Question_8",0.693
"408",18,33,"female","2","Question_8",0.721
"409",19,22,"female","1","Question_8",0.743
"410",20,23,"male","2","Question_8",0.932
"411",21,32,"female","1","Question_8",0.789
"412",22,33,"female","2","Question_8",0.764
"413",23,31,"male","1","Question_8",0.864
"414",24,23,"female","2","Question_8",0.654
"415",25,20,"male","1","Question_8",0.854
"416",26,25,"female","2","Question_8",0.804
"417",27,20,"male","1","Question_8",0.821
